word_id,display,flags,our_en,wikt_en,our_ru,wikt_ru
mitnehmen-v,mitnehmen,ru_mismatch,"take along, take with you",to take with; to carry along | to pick up; to keep | to take away,"брать с собой, уносить",подвозить
muessen-v,müssen,ru_mismatch,"must, have to",to have to (do something); must; to be obliged (to do something); to need (to do something). | to have to do something implied; must; to be obliged. | to need to go to the bathroom.,"быть должным, нужно",долженствовать
oder-c,oder,en_mismatch,or,or | right?; is it?; is it not? | or ; [2] or else ; [3] isn't it,или,или ; [3] не так ли | так
opa-n,der Opa,ru_mismatch,"grandpa, granddad",grandpa | any elderly man | grandad,дедушка,дед
rechts-a,rechts,ru_mismatch,"right, to the right",on the right | to the right | the right-hand side,"справа, направо",правый
reisebuero-n,das Reisebüro,ru_mismatch,travel agency,travel agency,туристическое агентство,бюро путешествий
schluss-n,der Schluss,ru_mismatch,"end, conclusion","end, ending, conclusion, finish | logical conclusion | close","конец, вывод",окончание | заключение | замыкание
sie-n,das Sie,en_mismatch,formal address,"you (polite, singular and plural) | you | she",обращение на «Вы»,Вы | она
um-p,um,ru_mismatch,"at, around","about | around | at, by (when relating to time)","в, около",вокруг | чтобы | для того чтобы
und-c,und,en_mismatch,and,"and | links two nouns, often a person and an activity, in rhetoric questions to express an opposition between them | so?, now?, and?",и,и | да | а
verein-n,der Verein,ru_mismatch,"club, association","association, club, society | association | club","клуб, общество",объединение
vormittag-n,der Vormittag,ru_mismatch,"morning, late morning","mid-morning, late morning, forenoon (time of day roughly between 9 a.m. and noon) | morning | forenoon","утро, первая половина дня",до обеда
wagen-n,der Wagen,ru_mismatch,"car, vehicle","a wheeled vehicle for transporting anything | Dipper: either the Großer Wagen (“Ursa Major”) or Kleiner Wagen (“Ursa Minor”) | cart , ( veraltet) wain","автомобиль, машина",экипаж | карета | повозка
welche-o,welche,ru_mismatch,"which, what",some | which | what,"какой, который",какая
wiederhoeren-n,das Wiederhören,en_mismatch,goodbye on phone,hearing again; an instance of hearing someone’s or each other’s voice again,до свидания по телефону,
wiedersehen-n,das Wiedersehen,ru_mismatch,"reunion, seeing again",reunion; seeing again; instance of seeing someone or each other again | reunion,"встреча после разлуки, повторная встреча",свидание | до свидания
zirka-a,zirka,en_mismatch,"approximately, about",circa,"примерно, около",
zu-p,zu,ru_mismatch,"to, at; in order to","to, towards (indicates directionality) | with respect to; regarding | along with; with (accompanying (the main thing in question))","к, у; чтобы",к | на | в
zu-p-2,zu,en_mismatch;ru_mismatch,"to, in order to","to, towards (indicates directionality) | with respect to; regarding | along with; with (accompanying (the main thing in question))","чтобы, -ть",к | на | в
abschliessen-v,abschließen,ru_mismatch,"lock, complete","to end, to finish or complete (one's studies, a task) | to shut off | to lock; to seal off","запирать, завершать",закончить | закрыть | заключить
aufraeumen-v,aufräumen,ru_mismatch,"tidy up, clean",to tidy up | tidy up | clean up,"убирать, наводить порядок",убрать | покончить
band-n,die Band,ru_mismatch,"band, music group","tape, ribbon | A ligament | band or tie holding items together","группа, музыкальная группа",лента | плёнка | конвейер
bescheid-n,der Bescheid,ru_mismatch,"notice, information","notification, information | notification ( ), answer | reply (the) deal","извещение, информация",уведомление
beschreiben-v,beschreiben,ru_mismatch,"describe, portray",to describe | to write on | to write (record data) to,"описывать, характеризовать",описать
beschweren-v,beschweren,ru_mismatch,"complain, object","to weight, to weight down | to complain | weight down","жаловаться, сетовать",утяжелять | пожаловаться | нажаловаться
besucht-o,besucht,en_mismatch,"visited, visits",attended,"посетил, посещает",
bewerben-v,bewerben,ru_mismatch,"apply, advertise",to apply (submit oneself as a candidate) | to try to win (someone's) favour/favor; to court | to advertise,"подавать заявление, рекламировать",добиваться
bloed-a,blöd,ru_mismatch,"stupid, silly","stupid, dim-witted | unfortunate, annoying (of situations) | stupid, damn; used as a general descriptor towards things one is frustrated with","глупый, дурацкий",тупой | безмозглый | дебильный
chatten-v,chatten,ru_mismatch,chat online,to chat | chat,переписываться в чате,чатиться | беседовать
dabei-o,dabei,en_mismatch,"with you, while doing so",thereby,"с собой, при этом",при этом
deutlich-a,deutlich,ru_mismatch,"clear, clearly","articulate, clear | distinct | considerable","ясный, чёткий",отчетливо | значительно
eintragen-v,eintragen,ru_mismatch,"enter, put down","to endorse | to enter, to record | to inscribe, to enrol","вписывать, записывать",вносить | заносить | приносить
herein-a,herein,en_mismatch,"in, inside",in (in the direction of the speaker) | in | come in,"сюда, внутрь",внутрь
klappen-v,klappen,ru_mismatch,"work out, function","to clap (make a soft clapping sound, particularly of something being closed) | to fold; to flip; to bend (to close or open a hinge) | to work out, to succeed, to function correctly, etc.","получаться, срабатывать",ладиться
nachbar-n,der Nachbar,en_mismatch,neighbor,neighbour,сосед,сосед
paar-o,paar,ru_mismatch,"a few, several",some; few; a few | paired | in pairs,"несколько, пара",чётный | парный | немногие
rundgang-n,der Rundgang,ru_mismatch,"tour, walk around","walk, tour | rounds | circular gallery","экскурсия, обход",прогулка
star-n,der Star,ru_mismatch,"star, celebrity","starling | cataract (an eye disease, leucoma) | celebrity, star","звезда, знаменитость",скворец | бельмо | катаракта
stiefel-n,der Stiefel,en_mismatch,boots,boot (shoe) | boot,"сапоги, ботинки",сапог
titel-n,der Titel,ru_mismatch,"title, name",title,"название, заголовок",заглавие | титул
toll-a,toll,ru_mismatch,"great, fantastic","great, nice, wonderful | crazy, mad | crazy","отличный, потрясающий",безумный | бешеный | прекрасный
unterkunft-n,die Unterkunft,ru_mismatch,"accommodation, place to stay",accommodation (lodging) | accommodation | lodging,"жильё, место проживания",убежище
untersuchen-v,untersuchen,ru_mismatch,"to examine, investigate","to examine, investigate (inspect or study carefully in order to reach a conclusion) | investigate | examine","осматривать, обследовать",исследовать
verreisen-v,verreisen,ru_mismatch,"to travel, go away","to take a trip, travel, go out of town | go away","уезжать, отправляться в путешествие",уехать она уехала
wahr-a,wahr,ru_mismatch,"true, real","true, real | true, truthful | true","правдивый, настоящий",верный
wurscht-a,wurscht,en_mismatch,"indifferent, doesn't matter","irrelevant, meaningless | meaningless | I don't mind","безразличный, всё равно",всё равно | безразлично
wurst-a,wurst,en_mismatch,"indifferent, doesn't matter","anyway, anyhow","безразличный, всё равно",
zurueckgeben-v,zurückgeben,ru_mismatch,"give back, return","to give back, return | return | resign","возвращать, отдавать обратно",вернуть | отдать
abbiegen-v,abbiegen,ru_mismatch,"turn, turn off","to turn, to turn off | to bend, to turn (of a road, street, path, etc.) | to fold (metal)",поворачивать,погнуть | повернуть
abfall-n,der Abfall,ru_mismatch,"waste, rubbish","waste, garbage, rubbish, litter | decrease, decline, drop | apostasy","отходы, мусор",отбросы
abmachen-v,abmachen,ru_mismatch,"arrange, agree on","to agree on, to settle on, to make (an appointment) | to remove, to take off, to unfasten | to dress","договариваться, согласовывать",устроить
abnehmen-v,abnehmen,en_mismatch;ru_mismatch,"lose weight, decrease","to take off (to remove something that is attached to something or on top of it) | to take (a sample of, especially blood) | to take away, to take over, to take off (to remove something from someone's hands or possession)","худеть, уменьшаться",снять | удалить | перенять
abschluss-n,der Abschluss,en_mismatch;ru_mismatch,"degree, qualification",exclusion | end (finish) | graduation (the act or process of graduating),"диплом, квалификация",выпуск
aktivitaet-n,die Aktivität,ru_mismatch,"activity, activities",activity,"деятельность, занятие",активность
angabe-n,die Angabe,en_mismatch;ru_mismatch,"information, detail",verbal noun of angeben | statement | declaration,"сведения, данные",декларация | подача
anhaben-v,anhaben,en_mismatch,be wearing,"to wear; to have on (a piece of clothing) see usage notes | to have turned on; to have on (an electronic device) | to harm, to hurt","быть одетым, носить",носить
ankuendigen-v,ankündigen,ru_mismatch,"announce, give notice",to announce | to herald | announce,"объявлять, сообщать заранее",извещать | уведомлять | предвещать
anleitung-n,die Anleitung,en_mismatch,"instructions, guide",guidance | manual | tutorial,"инструкция, руководство",инструкция
anschaffen-v,anschaffen,en_mismatch,"buy, acquire","to get, to obtain in particular by bargain | to work as a prostitute, to prostitute oneself, to go on the game | purchase","покупать, приобретать",покупать | закупать
anwaeltin-n,die Anwältin,en_mismatch,"female lawyer, attorney",advocate,"адвокат, юристка",
anzeigen-v,anzeigen,ru_mismatch,"display, report","to display, to show (a measurement e.g. time, temperature, speed etc.) | to indicate | to announce (a marriage, engagement, change of premises etc.); to advertise","отображать, заявлять",показывать
arbeiterin-n,die Arbeiterin,ru_mismatch,female worker,"female laborer, worker | worker bee | worker",работница,рабочая
ausfahrt-n,die Ausfahrt,ru_mismatch,"exit, drive",exit,"съезд, поездка на машине",выезд
bauernhof-n,der Bauernhof,ru_mismatch,farm,A farm. | farm,ферма,хозяйство | усадьба
beachten-v,beachten,ru_mismatch,"observe, pay attention","to note, notice, observe | to mind, heed | notice , to pay attention , to take notice , to take into consideration , to take into account , to note , to observe","соблюдать, обращать внимание",замечать | учитывать
beantragen-v,beantragen,ru_mismatch,"apply for, request","to apply for | to request, to propose | apply for","подавать заявление на, запрашивать",ходатайствовать
bekanntgeben-v,bekanntgeben,ru_mismatch,"announce, make public","to announce, to make known | announce","объявлять, оглашать",сообщать
beruflich-a,beruflich,ru_mismatch,"professional, work-related",professional | professionally | occupational,"профессиональный, рабочий",служебный
bestimmt-o,bestimmt,ru_mismatch,"certainly, definitely",certain | determined | definite,"конечно, точно",определённый | решительный | окончательный
betreuung-n,die Betreuung,ru_mismatch,"care, supervision","care | a person who takes care | tutelage, guardianship","уход, наблюдение",опека | опекун
bio-a,bio,ru_mismatch,organic,organic products | bio,"органический, экологически чистый",Био
brennen-v,brennen,ru_mismatch,"burn, be on fire",to burn; to light on fire | to burn; to be on fire | to have a strong affection for; to be affectionate,"гореть, пылать",жечь
buerste-n,die Bürste,ru_mismatch,"brush, hairbrush",brush | crew cut,"щётка, расчёска",кисть | кисточка
da-c,da,en_mismatch;ru_mismatch,"since, because",there | then; so; at that moment | replaces any pronominal adverb when the context is clear,"так как, поскольку",там | вот | здесь
damit-o,damit,ru_mismatch,"with it, about that","so that, in order that | so that | in order to","с этим, об этом",чтобы
danach-o,danach,ru_mismatch,"after that, afterward","after it, after that; thereafter (formal), afterwards | behind it/that | accordingly, in accordance with that","после этого, потом",затем
desto-c,desto,en_mismatch,"the more, the more",the (forming the parallel comparative with je) | used instead of je in the je ... desto construction | all the,"тем, тем больше",тем
durcheinander-a,durcheinander,ru_mismatch,"confused, mixed up","disordered, confused | jumbled | mixed up","растерянный, перепутанный",вперемешку
duzen-v,duzen,en_mismatch,use informal you,"to address informally using the pronoun du, to thou | to be on first-name terms | be on first-name terms",обращаться на «ты»,говорить на ты | тыкать
eignen-v,eignen,en_mismatch,"be suitable, acquire knowledge","to suit, to be apt for | [with dative] to be own to someone, to be characteristic | suit","подходить, приобретать знания",
einbrechen-v,einbrechen,ru_mismatch,"break in, collapse","to break in (for example, to steal something) | to break down | break in","взламывать, обрушиваться",вла́мываться | рушиться
einrichten-v,einrichten,ru_mismatch,"set up, furnish","to establish | to furnish | to arrange, to set up, to configure","устраивать, обставлять",организовывать
einwohnerin-n,die Einwohnerin,en_mismatch,female resident,inhabitant,жительница,
elegant-a,elegant,ru_mismatch,"elegant, stylish",elegant,"элегантный, стильный",изящный
entlassung-n,die Entlassung,ru_mismatch,"dismissal, release",release | dismissal | discharge,"увольнение, освобождение",смещение
entschliessen-v,entschließen,ru_mismatch,"to decide, resolve",to decide | decide | make up one's mind,"решаться, принимать решение",решиться
erfahren-v,erfahren,ru_mismatch,"find out, learn","to find out, learn, to come to know | to experience | experienced","узнавать, выяснять",испытывать | узнать | опытный
erholung-n,die Erholung,en_mismatch,"rest, relaxation","recovery, convalescence | recreation | recovery","отдых, расслабление",отдых | Возврат
erlebnis-n,das Erlebnis,ru_mismatch,"experience, adventure",experience (event of which one is cognizant) | adventure | experience,"впечатление, переживание",опыт
erschoepft-o,erschöpft,ru_mismatch,"exhausted, worn out",exhausted | weary,"измученный, уставший",истощённый | утомлённый | измождённый
ewig-a,ewig,ru_mismatch,"eternal, forever","eternal, everlasting | constant, frequent | eternally, for ever","вечный, вечно",всегда
fahrbahn-n,die Fahrbahn,ru_mismatch,"carriageway, roadway","lane (of traffic in a road) | roadway, carriageway | runway","проезжая часть, дорога",дорожная полоса
fassen-v,fassen,ru_mismatch,"touch, grasp","to gird, to surround, to confine into a form | to grasp, to catch | to seize, to capture","трогать, схватить",хватать
fernseher-n,der Fernseher,ru_mismatch,"television, TV set","a television set, a TV | a television viewer (person)",телевизор,телезритель
feststellen-v,feststellen,ru_mismatch,"establish, notice","to determine, to ascertain, to establish, to find, to see | to notice, to realize, to observe | to declare, to state","установить, заметить",констатировать | замечать | фиксировать
fliessend-o,fließend,en_mismatch,"fluently, running","fluent (in language proficiency, etc.) | fluent | floating","бегло, проточный",
foerdern-v,fördern,ru_mismatch,"promote, support","to further, foster, advance, encourage, support (promote the development of) | to fund, co-fund, to provide financial aid for (a project etc.) | to mine (a resource), to win by mining","способствовать, поддерживать",содействовать
gasthaus-n,das Gasthaus,ru_mismatch,"inn, restaurant","restaurant, inn, guesthouse | inn | tavern","трактир, ресторан",гостиница
gespannt-o,gespannt,ru_mismatch,"eager, curious","curious, excited (of a person; about seeing how something will turn out) | tense (of vowels) | tense, strained (of relationships, situations)","заинтересованный, заинтригованный",любопытный
gleichfalls-c,gleichfalls,ru_mismatch,"likewise, you too",likewise,"взаимно, вам тоже",также
grillieren-v,grillieren,ru_mismatch,"grill, barbecue",to grill | barbecue | grill,жарить на гриле,поджаривать
hageln-v,hageln,ru_mismatch,"hail, hailstones fall",to hail | hail,"идти о граде, выпадать граду",идёт град
handeln-v,handeln,en_mismatch;ru_mismatch,"concern, be about",to act; to take action | to negotiate; to bargain; to haggle | to trade in; to deal; to sell,"касаться, быть о",делать | действовать | продавать
handwerker-n,der Handwerker,en_mismatch,"craftsperson, tradesperson",craftsman (male or of unspecified gender) | contractor (male or of unspecified gender) | workman,"мастер, ремесленник",ремесленник
hausmeister-n,der Hausmeister,ru_mismatch,"caretaker, janitor",caretaker or janitor (male or of unspecified gender) (someone who repairs and potentially cleans a building) | janitor | caretaker,"завхоз, смотритель",управдом
haendlerin-n,die Händlerin,en_mismatch,"female retailer, saleswoman",merchant | trader,"продавщица, торговка",
huehnchen-n,das Hühnchen,en_mismatch,"chicken, young chicken",pullet,"курица, цыплёнок",
interkulturell-a,interkulturell,ru_mismatch,"intercultural, cross-cultural",intercultural | cross-cultural,межкультурный,интеркультурно
jedoch-c,jedoch,ru_mismatch,"however, but","however, yet, nevertheless | but | however","однако, но",тем не менее
kauf-n,der Kauf,ru_mismatch,"purchase, bargain",purchase,"покупка, приобретение",закупка
klettern-v,klettern,ru_mismatch,climb,to climb (e.g. up a tree) | climb,"лазать, взбираться",влезать
knoedel-n,der Knödel,ru_mismatch,dumpling,"dumpling | bucks, dosh, dough, moola (money)",клёцка,пельмень
kraftfahrzeug-n,das Kraftfahrzeug,ru_mismatch,motor vehicle,motor vehicle (any land vehicle) | motor vehicle | power-driven vehicle,"автотранспорт, моторное транспортное средство",автомобиль | автомашина
krankenpfleger-n,der Krankenpfleger,ru_mismatch,male nurse,nurse (male or of unspecified gender) (person who cares for the ill) | nurse | male nurse,медбрат,санитар
kuenstlerin-n,die Künstlerin,ru_mismatch,"female artist, performer",artist (female) | artist,"художница, артистка",худо́жница
laufwerk-n,das Laufwerk,ru_mismatch,disk drive,drive | part of a clockwork mechanism | chassis part of a railroad car,"дисковод, накопитель",привод
lautsprecher-n,der Lautsprecher,ru_mismatch,"speaker, loudspeaker","loudspeaker | loudhailer (electronic megaphone) | public address system, PA system, PA, (UK) tannoy (an electronic voice-amplification apparatus, usually containing a set of two loudspeakers and a central control unit, used for singing, giving a speech, play-by-play commentary at events, or broadcasting in public areas like in airports, stations, etc.)","динамик, громкоговоритель",колонка
leistung-n,die Leistung,ru_mismatch,"performance, achievement","performance, accomplishment, achievement | service | contractual performance","результат, достижение",мощность
lexikon-n,das Lexikon,ru_mismatch,"encyclopedia, reference book","reference book (a book, usually alphabetically ordered, in which definitions and facts can be looked up, such as an encyclopaedia, dictionary, etc.) | lexicon (the vocabulary of a language, field, or individual person) | encyclopedia","энциклопедия, справочник",словарь
locker-a,locker,ru_mismatch,"loose, relaxed",loose | relaxed | loosely,"свободный, расслабленный",рыхлый
los-a,los,en_mismatch,"gone, away; happening","rid of, free of | off, out, used to indicate leaving motion. | going on","свободен, прочь; происходить",свободен | происходить | случатся
magazin-n,das Magazin,ru_mismatch,"magazine, journal",magazine (periodical) | warehouse | storage (especially in a library or museum),"журнал, издание",магазин | склад | хранилище
metropole-n,die Metropole,ru_mismatch,"metropolis, major city","metropolis; very large city; city which dominates its surroundings due to its population, administrative power or culture(s) | metropolis","мегаполис, крупный город",метрополия
mutig-a,mutig,ru_mismatch,"brave, courageous",courageous | brave | valiant,"смелый, храбрый",мужественный
nadel-n,die Nadel,ru_mismatch,"needle, compass needle","needle; hook (implement for sewing, knitting, or crocheting) | pin (implement for fixing something) | needle (indicating device)","иголка, стрелка",игла
nebenbei-a,nebenbei,ru_mismatch,"on the side, incidentally","besides, additionally, along the way | by the way | incidentally","между делом, заодно",мимоходом
ordentlich-a,ordentlich,ru_mismatch,"tidy, proper","tidy, orderly | honest, decent | good, proper, big, large, considerable","опрятный, приличный",аккуратный | порядочный
panne-n,die Panne,ru_mismatch,"breakdown, mishap",breakdown | mishap,"поломка, неприятность",авария
pfleger-n,der Pfleger,en_mismatch,"male nurse, carer",caregiver | curator | trustee,"медбрат, сиделка",
prima-a,prima,ru_mismatch,"great, excellent","great, super | super | excellent","отличный, превосходный",первоклассный | замечательный
quer-a,quer,ru_mismatch,"across, diagonally","crosswise, cross | crosswise, across | through","поперёк, наискосок",через
reichen-v,reichen,ru_mismatch,"be enough, pass","to reach (extend a certain distance) | to pass, to hand, to serve, to put within reach | to suffice, to be enough, to do (for a certain purpose)","хватать, передавать",подавать | быть достаточным
relativ-a,relativ,en_mismatch,"relatively, comparative",relative,"относительный, относительно",сравнительно | относительно
sauce-n,die Sauce,en_mismatch,"sauce, dressing",synonym of Soße,"соус, заправка",
schick-a,schick,en_mismatch;ru_mismatch,"stylish, chic","elegant, dressy | elegant","стильный, шикарный",элегантный
schieben-v,schieben,ru_mismatch,"push, postpone",to push; to shove | to slide; to slip; to put | to push,"двигать, откладывать",толкать
schief-a,schief,ru_mismatch,"crooked, wrong","skew, oblique, askew, leaning, slanting, aslant, inclined (neither parallel nor perpendicular) | slopy, sloping (characterised by a slope or slopes) | crooked, awry (set at an angle; not vertical or square)","кривой, не так",косой
schmerzmittel-n,das Schmerzmittel,ru_mismatch,"painkiller, analgesic","painkiller, analgesic | analgesic | painkiller",обезболивающее,болеутоляющее
selbstverstaendlich-a,selbstverständlich,en_mismatch;ru_mismatch,"obvious, of course","natural, self-evident | granted | naturally","само собой разумеющийся, конечно",очевидный
senden-v,senden,ru_mismatch,"send, broadcast",to broadcast; to transmit | to send | send,"отправлять, транслировать",слать | посылать | передавать
sinnvoll-a,sinnvoll,ru_mismatch,"meaningful, sensible",meaningful | sensible,"имеющий смысл, разумный",смышлёный | умный | осмысленный
sowieso-p,sowieso,ru_mismatch,"anyway, in any case","anyway, anyhow, in any case | something; replaces unknown or unimportant words | of course; sure; that’s a given; expresses agreement to a statement with the implication that it is trivial","всё равно, так или иначе",в любом случае
sowohl-c,sowohl,ru_mismatch,both ... and,"both (only in combination with a contrasting second element, see derived terms) | both | both … and","как ..., так и",обе
speziell-a,speziell,ru_mismatch,"special, specific","special | particular, specific","особый, специальный",особенный
spitz-a,spitz,ru_mismatch,"sharp, pointed","pointed, pointy | sharp | spiky","острый, заострённый",остро
stecken-v,stecken,ru_mismatch,"to put, be stuck",insert | stick | be stuck,"класть, застревать",помещать
stecker-n,der Stecker,ru_mismatch,"plug, connector",plug (electrical plug) | plug | male connector,"штекер, вилка",ште́кер
strecke-n,die Strecke,ru_mismatch,"route, distance",stretch | route | line segment,"маршрут, расстояние",дистанция | отрезок | штрек
tatsaechlich-a,tatsächlich,ru_mismatch,"actual, really","actual, real, factual | actually, really, indeed | really?, indeed?","действительный, действительно",на самом деле
tote-n,die Tote,ru_mismatch,dead woman,dead person | casualty,мёртвая женщина,покойница
treiben-v,treiben,en_mismatch;ru_mismatch,"do, practise",to drive (e.g. livestock); to propel; to force | to put forth; to produce; to sprout | to urge,заниматься,гнать | перегонять
twittern-v,twittern,ru_mismatch,"tweet, post on Twitter",to tweet (post to Twitter) | tweet | twitter,писать в Твиттере,твитить
umgekehrt-o,umgekehrt,ru_mismatch,"the other way around, vice versa","reverse | the other way round, the other way around | contrary","наоборот, и наоборот",обратный
unterhaltung-n,die Unterhaltung,ru_mismatch,"conversation, entertainment",conversation | entertainment | maintenance,"разговор, развлечение",беседа
unterlage-n,die Unterlage,en_mismatch,"document, paper","something that is or lies underneath, at the base, specific uses include | synonym of Grundlage (“basis, foundation”) | documents relevant to some matter, especially ones used as evidence or reminders","документ, бумага",
unterrichten-v,unterrichten,ru_mismatch,"teach, instruct","to teach, to school | to inform | teach","преподавать, обучать",учить
verpflegen-v,verpflegen,ru_mismatch,"to provide meals, feed","to feed, nourish, especially a group away from home (e.g. travellers, workers, soldiers, prisoners) | to provide food for oneself, to receive provisions, to eat and drink | feed","кормить, обеспечивать питанием",снабжать продовольствием
vollzeit-n,die Vollzeit,ru_mismatch,full-time work,full time,полная занятость,полный рабочий день
vorbereitung-n,die Vorbereitung,ru_mismatch,"preparation, preparations",preparation,подготовка,приготовление
vorlesen-v,vorlesen,ru_mismatch,read aloud,to read (aloud) | read out | read out loud,читать вслух,зачитывать
weiter-a,weiter,ru_mismatch,"further, onward",go on | next | further,"дальше, вперёд",последующий
wert-a,wert,en_mismatch,"worthwhile, valuable","worth, worthy of | worthy of | dear","стоящий, ценный",
wissenschaftlerin-n,die Wissenschaftlerin,ru_mismatch,scientist,"scientist, scholar, researcher, academic (female) | scientist",учёная,учёный
worum-o,worum,ru_mismatch,"what about, about which",about what | around what | what … about,"о чём, о котором",ради чего
wuetend-o,wütend,ru_mismatch,"angry, furious","furious, angry | angrily, furiously | angry","злой, разъярённый",яростный | свирепый
zugehen-v,zugehen,en_mismatch,"happen, close","to shut | to receive | to approach sth. or so., to step up to someone, to walk towards","происходить, закрываться",
zuhoerer-n,der Zuhörer,ru_mismatch,"listener, hearer",listener,слушатель,слу́шатель
zunehmen-v,zunehmen,ru_mismatch,"gain weight, increase",to increase | to gain weight | increase,"поправляться, увеличиваться",полнеть
zuschlag-n,der Zuschlag,ru_mismatch,"surcharge, extra charge","surcharge, additional charge, extra fee | extra pay, bonus, premium, compensation, supplement (for example for weekend or holiday work) | to be knocked down, to go to someone, to declare (something) sold with a blow from the gavel (at an auction)","доплата, надбавка",приплата
