sent_id,de,en,ru,level,source,audio,tatoeba_audio_license
t440125,Biegen Sie an der nächsten Ecke links ab!,Turn left at the next corner.,За следующим углом поверните налево.,A1,tatoeba:440125,sent_t440125.mp3,CC BY-NC 4.0
t503,"Schau mich an, wenn ich mit dir rede!",Look at me when I talk to you!,"Смотри на меня, когда я с тобой разговариваю!",A1,tatoeba:503,sent_t503.mp3,
t1976920,Ich möchte dir Arbeit anbieten.,I'd like to offer you a job.,Я хочу предложить тебе работу.,A1,tatoeba:1976920,sent_t1976920.mp3,
g-ander-o,Ich möchte einen anderen Tisch im Café.,I would like another table in the café.,Я хотел бы другой столик в кафе.,A1,llm,sent_g-ander-o.mp3,
t1948702,Das ist ein guter Anfang.,It's a good start.,Это хорошее начало.,A1,tatoeba:1948702,sent_t1948702.mp3,
t349793,Kann ich jetzt mit dem Essen anfangen?,May I start eating now?,Я могу уже начать есть?,A1,tatoeba:349793,sent_t349793.mp3,
t2510431,Ich nehme das Angebot an.,I accept the offer.,Я принимаю предложение.,A1,tatoeba:2510431,sent_t2510431.mp3,
g-anklicken-v,Klicken Sie bitte auf den Link.,Please click on the link.,"Пожалуйста, нажмите на ссылку.",A1,llm,sent_g-anklicken-v.mp3,
g-ankommen-v,Der Zug kommt um acht Uhr an.,The train arrives at eight o'clock.,Поезд прибывает в восемь часов.,A1,llm,sent_g-ankommen-v.mp3,
t12191855,Die richtige Antwort bitte ankreuzen!,Please check the correct answer.,"Пожалуйста, отметьте правильный ответ.",A1,tatoeba:12191855,sent_t12191855.mp3,
g-ankunft-n,Die Ankunft ist um acht Uhr.,The arrival is at eight o'clock.,Прибытие в восемь часов.,A1,llm,sent_g-ankunft-n.mp3,
t1809144,Kann ich das Radio anmachen?,Can I turn on the radio?,Можно я включу радио?,A1,tatoeba:1809144,sent_t1809144.mp3,
t6303229,Ich werde mich bald zu einem Deutschkurs anmelden.,I'll soon register for a course in German.,Я скоро запишусь на курс немецкого языка.,A1,tatoeba:6303229,sent_t6303229.mp3,
t5974,Funktioniert das auch ohne Anmeldung?,Does it also work without registration?,Работает ли это также без регистрации?,A1,tatoeba:5974,sent_t5974.mp3,
g-anrede-n,Welche Anrede schreibe ich in den Brief?,Which salutation do I write in the letter?,Какое обращение написать в письме?,A1,llm,sent_g-anrede-n.mp3,
t1818300,Ich warte auf einen sehr wichtigen Anruf.,I'm waiting for a very important call.,Я жду очень важного звонка.,A1,tatoeba:1818300,sent_t1818300.mp3,
t8671512,Bitte hinterlassen Sie eine Nachricht auf meinem Anrufbeantworter.,Please leave a message on my answering machine.,"Оставьте, пожалуйста, сообщение у меня на автоответчике.",A1,tatoeba:8671512,sent_t8671512.mp3,CC BY-NC 4.0
t119746,Ich werde dich in einer Stunde anrufen.,I will call you in an hour.,Я тебе через час позвоню.,A1,tatoeba:119746,sent_t119746.mp3,
t4925135,Nach der Ansage wählen Sie bitte die Zwei.,"After the announcement, please dial two.","После объявления, пожалуйста, наберите двойку.",A1,tatoeba:4925135,sent_t4925135.mp3,
t645455,Kein Anschluss unter dieser Nummer.,Number unobtainable.,По этому номеру абонент недоступен.,A1,tatoeba:645455,sent_t645455.mp3,
t3377571,"Ich glaube, ich weiß die Antwort.",I think I know the answer.,"Мне кажется, я знаю ответ.",A1,tatoeba:3377571,sent_t3377571.mp3,
g-antworten-v,Bitte antworten Sie auf meine Frage.,Please answer my question.,"Пожалуйста, ответьте на мой вопрос.",A1,llm,sent_g-antworten-v.mp3,
g-anzeige-n,Ich lese eine Anzeige in der Zeitung.,I am reading an advertisement in the newspaper.,Я читаю объявление в газете.,A1,llm,sent_g-anzeige-n.mp3,
g-anziehen-v,Ich ziehe morgens meine Jacke an.,I put on my jacket in the morning.,Утром я надеваю свою куртку.,A1,llm,sent_g-anziehen-v.mp3,
t1503665,Ich habe früher in einem kleinen Apartment gewohnt.,I used to live in an efficiency.,Раньше я жил в маленькой квартире.,A1,tatoeba:1503665,sent_t1503665.mp3,
t338278,Dieser Apfel ist sehr rot.,This apple is very red.,Это яблоко красное-красное.,A1,tatoeba:338278,sent_t338278.mp3,CC BY-NC 4.0
g-appartement-n,Wir mieten ein kleines Appartement am Meer.,We are renting a small apartment by the sea.,Мы снимаем маленькие апартаменты у моря.,A1,llm,sent_g-appartement-n.mp3,
t6323951,Er hat überhaupt keinen Appetit. Ist er krank?,He's got no appetite whatsoever. Is he ill?,У него совсем нет аппетита. Он болен?,A1,tatoeba:6323951,sent_t6323951.mp3,
t1342833,Der April ist der vierte Monat des Jahres.,April is the fourth month of the year.,Апрель - четвёртый месяц года.,A1,tatoeba:1342833,sent_t1342833.mp3,
t378297,Fährt er mit dem Bus zur Arbeit?,Does he go to work by bus?,Он ездит на работу на автобусе?,A1,tatoeba:378297,sent_t378297.mp3,
t3367022,Ich arbeite im Laden meines Freundes.,I work at my friend's shop.,Я работаю в магазине моего друга.,A1,tatoeba:3367022,sent_t3367022.mp3,CC BY-NC 4.0
t10727386,Mein Bruder ist zur Zeit arbeitslos.,My brother is currently unemployed.,Мой брат сейчас безработный.,A1,tatoeba:10727386,sent_t10727386.mp3,
g-arbeitsplatz-n,Mein Arbeitsplatz ist im zweiten Stock.,My workplace is on the second floor.,Моё рабочее место находится на втором этаже.,A1,llm,sent_g-arbeitsplatz-n.mp3,
t6181,Mein ganzer Arm ist voller Mückenstiche.,I've got mosquito bites all over my arm.,У меня по всей руке комариные укусы.,A1,tatoeba:6181,sent_t6181.mp3,
t477555,Ich habe einen Termin beim Arzt.,I have an appointment with the doctor.,У меня приём у врача.,A1,tatoeba:477555,sent_t477555.mp3,CC BY-NC 4.0
g-auch-c,Ich trinke auch gern Kaffee.,I also like drinking coffee.,Я тоже люблю пить кофе.,A1,llm,sent_g-auch-c.mp3,
t396612,Das Gebäude auf dem Hügel ist unsere Schule.,The building on the hill is our school.,Здание на холме - наша школа.,A1,tatoeba:396612,sent_t396612.mp3,CC BY-NC 4.0
g-auf-sein-v,Der Laden ist heute bis acht Uhr auf.,The shop is open until eight today.,Сегодня магазин открыт до восьми.,A1,llm,sent_g-auf-sein-v.mp3,
t2911818,Ich habe eine Aufgabe für dich.,I have something for you to do.,У меня для тебя есть задание.,A1,tatoeba:2911818,sent_t2911818.mp3,CC BY-NC 4.0
t15773,Sie hat mit dem Rauchen aufgehört.,She stopped smoking.,Она бросила курить.,A1,tatoeba:15773,sent_t15773.mp3,
t362239,Ich bin um sieben Uhr aufgestanden.,I got up at seven.,Я встал в семь часов.,A1,tatoeba:362239,sent_t362239.mp3,
t363317,Wo ist der Aufzug?,Where is the elevator?,Где лифт?,A1,tatoeba:363317,sent_t363317.mp3,
t549905,Ich habe es mit eigenen Augen gesehen.,I saw it with my own eyes.,Я это видел собственными глазами.,A1,tatoeba:549905,sent_t549905.mp3,
t10068256,Der August ist der achte Monat des Jahres.,August is the eighth month of the year.,Август - восьмой месяц года.,A1,tatoeba:10068256,sent_t10068256.mp3,
t2515617,"Der Bus hielt an, aber niemand stieg aus.","The bus stopped, but nobody got off.","Автобус остановился, но никто не вышел.",A1,tatoeba:2515617,sent_t2515617.mp3,CC BY-NC 4.0
g-aus-sein-v,"Das Licht ist aus, bitte mach es an.",The light is off; please turn it on.,"Свет выключен, пожалуйста, включи его.",A1,llm,sent_g-aus-sein-v.mp3,
t1314882,Lasst uns einen Ausflug machen.,Let's take a trip.,Давайте совершим поездку.,A1,tatoeba:1314882,sent_t1314882.mp3,
t345353,Muss ich dieses Formular jetzt ausfüllen?,Do I need to fill this form in now?,Мне нужно заполнить эту форму сейчас?,A1,tatoeba:345353,sent_t345353.mp3,
t182041,"Bitte benutzen Sie diesen Ausgang, wenn es brennt.",Please use this exit when there is a fire.,"При пожаре используйте, пожалуйста, этот выход.",A1,tatoeba:182041,sent_t182041.mp3,
t12205268,Können Sie mir bitte eine Auskunft geben?,Could you please give me some information?,Не могли бы вы дать мне информацию?,A1,tatoeba:12205268,sent_t12205268.mp3,
t2094665,Sein Bruder lebt im Ausland.,His brother lives abroad.,Его брат живёт за границей.,A1,tatoeba:2094665,sent_t2094665.mp3,CC BY-NC 4.0
t341581,Sie ist mit einem Ausländer verheiratet.,She is married to a foreigner.,Она замужем за иностранцем.,A1,tatoeba:341581,sent_t341581.mp3,
t7636844,Tom hat ein ausländisches Auto.,Tom has a foreign car.,У Тома иномарка.,A1,tatoeba:7636844,sent_t7636844.mp3,
g-ausmachen-v,Bitte mach das Licht im Flur aus.,Please turn off the hallway light.,"Пожалуйста, выключи свет в коридоре.",A1,llm,sent_g-ausmachen-v.mp3,
t13745345,Beide Aussagen könnten stimmen.,Both statements could be true.,Оба утверждения могут быть верными.,A1,tatoeba:13745345,sent_t13745345.mp3,
g-aussehen-v,Wie sieht dein neues Zimmer aus?,What does your new room look like?,Как выглядит твоя новая комната?,A1,llm,sent_g-aussehen-v.mp3,
g-aussteigen-v,An der nächsten Haltestelle steige ich aus.,I get off at the next stop.,Я выхожу на следующей остановке.,A1,llm,sent_g-aussteigen-v.mp3,
t520007,Haben Sie irgendeinen Ausweis?,Do you have any ID?,У вас есть какое-нибудь удостоверение личности?,A1,tatoeba:520007,sent_t520007.mp3,
g-ausziehen-v,Im Winter ziehe ich meine Jacke aus.,"In winter, I take off my jacket.",Зимой я снимаю куртку.,A1,llm,sent_g-ausziehen-v.mp3,
t501349,"Du kannst mein Auto benutzen, wenn du möchtest.",You can use my car if you like.,"Можешь взять мою машину, если хочешь.",A1,tatoeba:501349,sent_t501349.mp3,CC BY-NC 4.0
g-autobahn-n,Wir fahren heute auf der Autobahn nach Berlin.,Today we drive to Berlin on the motorway.,Сегодня мы едем в Берлин по автобану.,A1,llm,sent_g-autobahn-n.mp3,
t738115,Dieser Automat funktioniert nicht.,This vending machine isn't working.,Этот автомат не работает.,A1,tatoeba:738115,sent_t738115.mp3,
t3643121,Die Aufzugskabine hat eine automatische Tür.,The lift has an automatic door.,В лифте автоматическая дверь.,A1,tatoeba:3643121,sent_t3643121.mp3,
t603683,Das Baby braucht seine Mutter.,The baby needs its mother.,Ребёнок нуждается в матери.,A1,tatoeba:603683,sent_t603683.mp3,
g-bad-n,Das Bad ist heute sehr sauber.,The bathroom is very clean today.,Сегодня ванная комната очень чистая.,A1,llm,sent_g-bad-n.mp3,
t2973521,Komm! Du kannst in meinem Pool baden.,"Come on, you can have a swim in my pool.",Пойдём! Можешь поплавать в моём бассейне.,A1,tatoeba:2973521,sent_t2973521.mp3,
t362125,Ich möchte etwas zum Lesen in der Bahn.,I want something to read on the train.,Я хотел бы что-нибудь почитать в поезде.,A1,tatoeba:362125,sent_t362125.mp3,
t3541463,Lass uns zum Bahnhof gehen und Fahrkarten kaufen.,Let's go to the station and buy tickets.,Пойдём на железнодорожный вокзал и купим билеты.,A1,tatoeba:3541463,sent_t3541463.mp3,CC BY-NC 4.0
t3160393,Von welchem Bahnsteig fährt der Zug ab?,What platform does the train leave from?,От какой платформы отходит поезд?,A1,tatoeba:3160393,sent_t3160393.mp3,
t1223806,"Ich hoffe, wir sehen uns bald!",I hope to see you soon.,"Надеюсь, скоро увидимся.",A1,tatoeba:1223806,sent_t1223806.mp3,
t356658,Ich bin auf dem Balkon.,I'm on the balcony.,Я на балконе.,A1,tatoeba:356658,sent_t356658.mp3,
t5265649,Ich habe eine Banane gegessen.,I ate a banana.,Я съел банан.,A1,tatoeba:5265649,sent_t5265649.mp3,
t715107,Ich bin zur Bank gegangen.,I've been to the bank.,Я ходил в банк.,A1,tatoeba:715107,sent_t715107.mp3,
t2272199,Zahlen Sie in bar?,Will you pay cash?,Вы заплатите наличными?,A1,tatoeba:2272199,sent_t2272199.mp3,
t1514970,Tom tut der Bauch weh.,Tom has a stomachache.,У Тома болит живот.,A1,tatoeba:1514970,sent_t1514970.mp3,
t2770789,Tom versteckte sich hinter einem Baum.,Tom hid behind a tree.,Том прятался за деревом.,A1,tatoeba:2770789,sent_t2770789.mp3,
g-beamte-n,Der Beamte arbeitet heute im Bürgerbüro.,The official works at the citizens' office today.,Сегодня чиновник работает в центре обслуживания граждан.,A1,llm,sent_g-beamte-n.mp3,
t2233499,Hat das etwas zu bedeuten?,Does that mean something?,Это что-то значит?,A1,tatoeba:2233499,sent_t2233499.mp3,CC BY-NC 4.0
t411750,Die Schule beginnt um neun Uhr.,School starts at nine.,Занятия в школе начинаются в девять часов.,A1,tatoeba:411750,sent_t411750.mp3,
t6126,"Wasser gefriert bei null Grad Celsius, oder?","Water freezes at zero degrees Celsius, doesn't it?","Вода замерзает при нуле градусов, да?",A1,tatoeba:6126,sent_t6126.mp3,
t1897999,Es geht uns beiden gut.,We're both fine.,У нас обоих всё в порядке.,A1,tatoeba:1897999,sent_t1897999.mp3,
t978179,Ich habe mir das Bein gebrochen.,I broke my leg.,Я сломал ногу.,A1,tatoeba:978179,sent_t978179.mp3,CC BY-NC 4.0
t397497,Gebt uns bitte ein paar Beispiele.,Please give us some examples.,"Пожалуйста, приведите нам несколько примеров.",A1,tatoeba:397497,sent_t397497.mp3,CC BY-NC 4.0
t3348625,Ihr Name ist auf der ganzen Welt bekannt.,Her name is known all over the world.,Её имя знают во всём мире.,A1,tatoeba:3348625,sent_t3348625.mp3,
t3680749,"Tom hat viele Bekannte, aber sehr wenige Freunde.",Tom has lots of acquaintances but very few friends.,"У Тома много знакомых, но очень мало друзей.",A1,tatoeba:3680749,sent_t3680749.mp3,
t2223455,"Wer um nichts bittet, bekommt nichts.",Whoever doesn't ask for anything doesn't get anything.,"Кто ничего не просит, тот ничего и не получает.",A1,tatoeba:2223455,sent_t2223455.mp3,CC BY-NC 4.0
t403705,Darf ich Ihren Bleistift benutzen?,Can I use your pencil?,Я могу воспользоваться вашим карандашом?,A1,tatoeba:403705,sent_t403705.mp3,CC BY-NC 4.0
t8060560,Ich bin von Beruf Fotograf.,I'm a professional photographer.,Я - профессиональный фотограф.,A1,tatoeba:8060560,sent_t8060560.mp3,CC BY 4.0
t406918,Die Leitung ist besetzt.,The line is engaged.,Линия занята.,A1,tatoeba:406918,sent_t406918.mp3,
t5988781,Wir wollen auch Berlin besichtigen.,We want to visit Berlin as well.,Мы также хотим посетить Берлин.,A1,tatoeba:5988781,sent_t5988781.mp3,
t415185,Welche Farbe gefällt dir besser? Blau oder Rot?,"Which color do you like more, blue or red?","Какой цвет тебе больше нравится, синий или красный?",A1,tatoeba:415185,sent_t415185.mp3,
g-best-o,Das ist der beste Film für Kinder.,This is the best film for children.,Это лучший фильм для детей.,A1,llm,sent_g-best-o.mp3,
t551556,Warum bestellen wir keine Pizza?,Why don't we order pizza?,Почему бы нам не заказать пиццу?,A1,tatoeba:551556,sent_t551556.mp3,
t768970,Nächste Woche möchte ich meinen Freund besuchen.,Next week I want to visit my friend.,Я хочу на следующей неделе навестить своего друга.,A1,tatoeba:768970,sent_t768970.mp3,
t476098,Ich gehe sehr früh zu Bett.,I go to bed very early.,Я очень рано ложусь.,A1,tatoeba:476098,sent_t476098.mp3,
t1327941,Ich bezahle heute dein Mittagessen.,I'll pay for your lunch today.,Я оплачу сегодня твой обед.,A1,tatoeba:1327941,sent_t1327941.mp3,CC BY-NC 4.0
t2300432,Kann ich bitte ein Bier haben?,"Can I have a beer, please?","Пожалуйста, можно мне пиво?",A1,tatoeba:2300432,sent_t2300432.mp3,
t2858944,Schau dir dieses Bild gut an!,Have a good look at this picture.,Посмотри внимательно на эту фотографию.,A1,tatoeba:2858944,sent_t2858944.mp3,CC BY-NC 4.0
t8093186,Alles ist so billig.,Everything's so cheap.,Всё так дешево.,A1,tatoeba:8093186,sent_t8093186.mp3,
t8641921,"Sie kauft Äpfel, Birnen und Erdbeeren.","She's buying apples, pears and strawberries.","Она покупает яблоки, груши и клубнику.",A1,tatoeba:8641921,sent_t8641921.mp3,
t1164005,Der Supermarkt ist von Montag bis Samstag geöffnet.,The supermarket is open Monday through Saturday.,Супермаркет открыт с понедельника по субботу.,A1,tatoeba:1164005,sent_t1164005.mp3,CC BY-NC 4.0
t338304,Kann ich mich ein bisschen ausruhen?,Can I rest a bit?,Могу я немного отдохнуть?,A1,tatoeba:338304,sent_t338304.mp3,CC BY-NC 4.0
g-bitte-n,Ich habe eine Bitte an dich.,I have a favor to ask you.,У меня к тебе просьба.,A1,llm,sent_g-bitte-n.mp3,
t6094,"Schließen Sie bitte die Tür, wenn Sie hinausgehen.",Please will you close the door when you go out.,"Закройте, пожалуйста, дверь, когда будете выходить.",A1,tatoeba:6094,sent_t6094.mp3,
g-bitten-v,Ich bitte dich um deine Hilfe.,I ask you for your help.,Я прошу тебя о помощи.,A1,llm,sent_g-bitten-v.mp3,
t1133943,Der Kaffee ist bitter.,The coffee is bitter.,Кофе горький.,A1,tatoeba:1133943,sent_t1133943.mp3,CC BY 4.0
t344,"Es tut mir leid, ich kann nicht lange bleiben.","I'm sorry, I can't stay long.","Прошу прощения, я ненадолго.",A1,tatoeba:344,sent_t344.mp3,
t362203,Er warf einen Blick auf seine Uhr.,He glanced at his watch.,Он взглянул на часы.,A1,tatoeba:362203,sent_t362203.mp3,CC BY-NC 4.0
t2171599,Ein Bogen ohne Pfeile ist nutzlos.,A bow is no use without arrows.,Лук без стрел бесполезен.,A1,tatoeba:2171599,sent_t2171599.mp3,
t788193,"Dieses Leben im Goldfischglas ist alles, was ich brauche.",This fishbowl life is all I need.,"Жизнь золотой рыбки - всё, что мне нужно.",A1,tatoeba:788193,sent_t788193.mp3,
t353658,Seine Schuhe sind braun.,His shoes are brown.,Его ботинки коричневые.,A1,tatoeba:353658,sent_t353658.mp3,CC BY-NC 4.0
t450735,Wie breit ist dieser Fluss?,How wide is this river?,Насколько широка эта река?,A1,tatoeba:450735,sent_t450735.mp3,
t6120,Ich muss einen Brief schreiben. Hast du Papier?,I have to write a letter. Do you have some paper?,Мне нужно написать письмо. У тебя есть бумага?,A1,tatoeba:6120,sent_t6120.mp3,
t345248,Ich brauche eine Briefmarke.,I need to get a stamp.,Мне нужна почтовая марка.,A1,tatoeba:345248,sent_t345248.mp3,CC BY-NC 4.0
t1248,Ich bringe Ihnen sofort die Rechnung.,I'll bring you the bill immediately.,Я принесу вам счёт сию минуту.,A1,tatoeba:1248,sent_t1248.mp3,
t1391330,Wer hat das Brot gegessen?,Who ate the bread?,Кто съел хлеб?,A1,tatoeba:1391330,sent_t1391330.mp3,
t5187406,Mein Bruder ist nicht zu Hause.,My brother isn't home.,Брата нет дома.,A1,tatoeba:5187406,sent_t5187406.mp3,CC BY-NC 4.0
t6619416,Tom hat Brötchen gekauft.,Tom bought rolls.,Том купил булочки.,A1,tatoeba:6619416,sent_t6619416.mp3,
t404126,Er legte das Buch auf den Tisch.,He put the book on the table.,Он положил книгу на стол.,A1,tatoeba:404126,sent_t404126.mp3,CC BY-NC 4.0
t942953,Aus dieser Entfernung kann man die Buchstaben nicht erkennen.,"From this distance, you can't make out the letters.",С такого расстояния не видно букв.,A1,tatoeba:942953,sent_t942953.mp3,
t3006093,Kannst du es buchstabieren?,Can you spell it?,Можешь произнести это по буквам?,A1,tatoeba:3006093,sent_t3006093.mp3,CC BY-NC 4.0
t450598,Der Bus kam zehn Minuten zu spät.,The bus arrived ten minutes behind time.,Автобус опоздал на десять минут.,A1,tatoeba:450598,sent_t450598.mp3,CC BY-NC 4.0
t1844120,Wo ist die Butter?,Where's the butter?,Где масло?,A1,tatoeba:1844120,sent_t1844120.mp3,CC BY 4.0
t11219831,Ich kaufe mein Brot immer in der Bäckerei.,I always buy my bread from the bakery.,Я всегда покупаю хлеб в булочной.,A1,tatoeba:11219831,sent_t11219831.mp3,
g-boes-a,Das ist wirklich nicht bös gemeint.,That is really not meant badly.,Это действительно не со зла.,A1,llm,sent_g-boes-a.mp3,
t2342983,Ich bin dir nicht böse.,I'm not mad at you.,Я не сержусь на тебя.,A1,tatoeba:2342983,sent_t2342983.mp3,
g-cafe-n,Wir treffen uns heute im Café.,We are meeting at the café today.,Сегодня мы встречаемся в кафе.,A1,llm,sent_g-cafe-n.mp3,
t2633939,Welche CD willst du hören?,Which CD do you want to listen to?,Какой диск хочешь послушать?,A1,tatoeba:2633939,sent_t2633939.mp3,CC BY-NC 4.0
t12885949,Die Limonade kostet fünfzig Cent.,The lemonade costs 50 cents.,Лимонад стоит пятьдесят центов.,A1,tatoeba:12885949,sent_t12885949.mp3,
t2599882,Ist der Chef da?,Is the boss there?,Шеф на месте?,A1,tatoeba:2599882,sent_t2599882.mp3,CC BY 4.0
t940453,Von hier bis zum Bahnhof sind es circa zehn Minuten.,It's about ten minutes from here to the station.,Отсюда до вокзала минут десять.,A1,tatoeba:940453,sent_t940453.mp3,
t813,Ich brauche einen neuen Computer.,I have to get a new computer.,Мне нужен новый компьютер.,A1,tatoeba:813,sent_t813.mp3,
t6569366,Ich habe da drei Monate lang gearbeitet.,I worked there for three months.,Я проработал там три месяца.,A1,tatoeba:6569366,sent_t6569366.mp3,CC BY 4.0
g-daneben-o,Der Stuhl steht direkt daneben.,The chair is standing right beside it.,Стул стоит прямо рядом.,A1,llm,sent_g-daneben-o.mp3,
g-dank-n,Vielen Dank für deine Hilfe heute.,Many thanks for your help today.,Большое спасибо за твою помощь сегодня.,A1,llm,sent_g-dank-n.mp3,
t789796,"Danke, dass du gekommen bist.",Thank you for coming.,"Спасибо, что пришёл.",A1,tatoeba:789796,sent_t789796.mp3,CC BY-NC 4.0
t2081896,Ich möchte dir dafür danken.,I want to thank you for that.,Я хочу тебя за это поблагодарить.,A1,tatoeba:2081896,sent_t2081896.mp3,CC BY-NC 4.0
t129,Dann haben wir ein Problem...,Then there is a problem...,Тогда это проблема...,A1,tatoeba:129,sent_t129.mp3,
t6095,Wer hat das gesagt? Das ist völlig falsch!,Who said that? It's totally wrong!,Кто это сказал? Это в корне неверно!,A1,tatoeba:6095,sent_t6095.mp3,
t451354,Welches Datum ist heute?,What's today's date?,Какое сегодня число?,A1,tatoeba:451354,sent_t451354.mp3,CC BY-NC 4.0
t362158,Wie lange dauert es zu Fuß zum Bahnhof?,How long does it take to walk to the station?,"Сколько времени нужно, чтобы дойти пешком до железнодорожного вокзала?",A1,tatoeba:362158,sent_t362158.mp3,CC BY-NC 4.0
t307,"""Wer ist es?"" ""Es ist deine Mutter.""","""Who is it?"" ""It's your mother.""","""Кто это?"" - ""Это твоя мать"".",A1,tatoeba:307,sent_t307.mp3,
t1071851,"Iss deine Suppe, bevor sie kalt wird.",Eat your soup while it is hot.,"Ешь свой суп, пока он не остыл.",A1,tatoeba:1071851,sent_t1071851.mp3,CC BY 4.0
t3388894,Warum hast du mir das denn nicht gesagt?,Why didn't you tell me?,Почему же ты мне об этом не сказал?,A1,tatoeba:3388894,sent_t3388894.mp3,
t328,Das fängt nicht vor acht Uhr dreißig an.,It doesn't start until eight thirty.,До восьми тридцати не начнём.,A1,tatoeba:328,sent_t328.mp3,
t590,Ich verstehe kein Deutsch.,I don't understand German.,Я по-немецки не понимаю.,A1,tatoeba:590,sent_t590.mp3,
t6218277,Viele Deutsche haben blondes Haar und blaue Augen.,Many Germans have blonde hair and blue eyes.,У многих немцев светлые волосы и голубые глаза.,A1,tatoeba:6218277,sent_t6218277.mp3,
t1010501,Ich habe drei Jahre lang in Deutschland gelebt.,I lived in Germany for three years.,Я три года прожил в Германии.,A1,tatoeba:1010501,sent_t1010501.mp3,
t408411,Dezember ist der letzte Monat des Jahres.,December is the last month of the year.,Декабрь - последний месяц года.,A1,tatoeba:408411,sent_t408411.mp3,
t424274,"Wenn du dich beeilst, kannst du ihn einholen.","If you hurry, you can catch him up.","Если поторопишься, то ещё догонишь его.",A1,tatoeba:424274,sent_t424274.mp3,CC BY-NC 4.0
t399776,Hast du am Dienstag frei?,Are you free on Tuesday?,Ты свободен во вторник?,A1,tatoeba:399776,sent_t399776.mp3,
t835883,"Tut mir leid, der Doktor ist nicht da.",I'm afraid the doctor is out.,"Мне очень жаль, но доктора сейчас нет здесь.",A1,tatoeba:835883,sent_t835883.mp3,
