word_id,lemma,display,pos,gender,plural,verb_forms,level,topic,en,ru,freq_rank,source,audio,status
alleine-o,alleine,alleine,adv,,,,A1,person-familie,"alone, by oneself","один, самостоятельно",,dwds,word_alleine-o.mp3,enriched
alles-p,alles,alles,pron,,,,A1,grundwortschatz,"everything, all",всё,,dwds,word_alles-p.mp3,enriched
also-c,also,also,particle,,,,A1,grundwortschatz,"so, then","итак, тогда",,dwds,word_also-c.mp3,enriched
alt-a,alt,alt,adj,,,,A1,person-familie,"old, elderly","старый, пожилой",,dwds,word_alt-a.mp3,enriched
alter-n,Alter,das Alter,noun,neutr.,Alter,,A1,person-familie,age,возраст,,dwds,word_alter-n.mp3,enriched
am-o,am,am,prep,,,,A1,grundwortschatz,"on, at the","в, на",,dwds,word_am-o.mp3,qa_flagged
an-p,an,an,prep,,,,A1,wohnen,"at, on, to","у, на, к",,dwds,word_an-p.mp3,enriched
an-a,an,an,particle,,,,A1,freizeit-hobby,"on, toward","включён, к",,dwds,word_an-a.mp3,qa_flagged
anbieten-v,anbieten,anbieten,verb,,,"bietet an, bot an, hat angeboten",A1,arbeit,"offer, provide",предлагать,,dwds,word_anbieten-v.mp3,enriched
ander-o,ander,ander,adj,,,,A1,grundwortschatz,"other, another","другой, иной",,dwds,word_ander-o.mp3,qa_flagged
anfang-n,Anfang,der Anfang,noun,mask.,Anfänge,,A1,lernen-schule,"beginning, start",начало,,dwds,word_anfang-n.mp3,enriched
anfangen-v,anfangen,anfangen,verb,,,"fängt an, fing an, hat angefangen",A1,arbeit,"begin, start",начинать,,dwds,word_anfangen-v.mp3,enriched
angebot-n,Angebot,das Angebot,noun,neutr.,Angebote,,A1,einkaufen,"offer, deal","предложение, выгодная покупка",,dwds,word_angebot-n.mp3,enriched
anklicken-v,anklicken,anklicken,verb,,,,A1,dienstleistungen,click on,"нажать, кликнуть",,dwds,word_anklicken-v.mp3,enriched
ankommen-v,ankommen,ankommen,verb,,,"kommt an, kam an, ist angekommen",A1,reisen-verkehr,"arrive, get there","прибывать, приезжать",,dwds,word_ankommen-v.mp3,enriched
ankreuzen-v,ankreuzen,ankreuzen,verb,,,,A1,lernen-schule,"tick, check","отметить крестиком, поставить галочку",,dwds,word_ankreuzen-v.mp3,enriched
ankunft-n,Ankunft,die Ankunft,noun,fem.,Ankünfte,,A1,reisen-verkehr,arrival,"прибытие, приезд",,dwds,word_ankunft-n.mp3,enriched
anmachen-v,anmachen,anmachen,verb,,,,A1,wohnen,"turn on, switch on",включать,,dwds,word_anmachen-v.mp3,enriched
anmelden-v,anmelden,anmelden,verb,,,,A1,dienstleistungen,"register, sign up","регистрироваться, записываться",,dwds,word_anmelden-v.mp3,enriched
anmeldung-n,Anmeldung,die Anmeldung,noun,fem.,Anmeldungen,,A1,dienstleistungen,"registration, reception","регистрация, стойка регистрации",,dwds,word_anmeldung-n.mp3,enriched
anrede-n,Anrede,die Anrede,noun,fem.,Anreden,,A1,dienstleistungen,"salutation, form of address","обращение, приветствие в письме",,dwds,word_anrede-n.mp3,enriched
anruf-n,Anruf,der Anruf,noun,mask.,Anrufe,,A1,dienstleistungen,"call, phone call","звонок, телефонный звонок",,dwds,word_anruf-n.mp3,enriched
anrufbeantworter-n,Anrufbeantworter,der Anrufbeantworter,noun,mask.,Anrufbeantworter,,A1,dienstleistungen,answering machine,автоответчик,,dwds,word_anrufbeantworter-n.mp3,enriched
anrufen-v,anrufen,anrufen,verb,,,"ruft an, rief an, hat angerufen",A1,dienstleistungen,"call, phone",звонить,,dwds,word_anrufen-v.mp3,enriched
ansage-n,Ansage,die Ansage,noun,fem.,Ansagen,,A1,reisen-verkehr,"announcement, announcement message","объявление, сообщение",,dwds,word_ansage-n.mp3,enriched
anschluss-n,Anschluss,der Anschluss,noun,mask.,Anschlüsse,,A1,dienstleistungen,"connection, phone line","соединение, телефонная линия",,dwds,word_anschluss-n.mp3,qa_flagged
antwort-n,Antwort,die Antwort,noun,fem.,Antworten,,A1,lernen-schule,"answer, reply",ответ,,dwds,word_antwort-n.mp3,enriched
antworten-v,antworten,antworten,verb,,,,A1,grundwortschatz,"answer, reply","отвечать, отвечать на",,dwds,word_antworten-v.mp3,enriched
anzeige-n,Anzeige,die Anzeige,noun,fem.,Anzeigen,,A1,einkaufen,"advertisement, display","объявление, индикатор",,dwds,word_anzeige-n.mp3,enriched
anziehen-v,anziehen,anziehen,verb,,,"zieht an, zog an, hat angezogen",A1,kleidung,"put on, attract","надевать, привлекать",,dwds,word_anziehen-v.mp3,qa_flagged
apartment-n,Apartment,das Apartment,noun,neutr.,Apartments,,A1,wohnen,"apartment, flat","апартаменты, квартира",,dwds,word_apartment-n.mp3,enriched
apfel-n,Apfel,der Apfel,noun,mask.,Äpfel,,A1,essen-trinken,apple,яблоко,,dwds,word_apfel-n.mp3,enriched
appartement-n,Appartement,das Appartement,noun,neutr.,Appartements,,A1,wohnen,"apartment, flat","апартаменты, квартира",,dwds,word_appartement-n.mp3,enriched
appetit-n,Appetit,der Appetit,noun,mask.,(Sg.),,A1,essen-trinken,appetite,аппетит,,dwds,word_appetit-n.mp3,enriched
april-n,April,der April,noun,mask.,Aprile,,A1,grundwortschatz,April,апрель,,dwds,word_april-n.mp3,enriched
arbeit-n,Arbeit,die Arbeit,noun,fem.,Arbeiten,,A1,arbeit,"work, job",работа,,dwds,word_arbeit-n.mp3,enriched
arbeiten-v,arbeiten,arbeiten,verb,,,,A1,arbeit,work,работать,,dwds,word_arbeiten-v.mp3,enriched
arbeitslos-a,arbeitslos,arbeitslos,adj,,,,A1,arbeit,unemployed,безработный,,dwds,word_arbeitslos-a.mp3,enriched
arbeitsplatz-n,Arbeitsplatz,der Arbeitsplatz,noun,mask.,Arbeitsplätze,,A1,arbeit,"workplace, job","рабочее место, работа",,dwds,word_arbeitsplatz-n.mp3,enriched
arm-n,Arm,der Arm,noun,mask.,Arme,,A1,koerper-gesundheit,arm,рука,,dwds,word_arm-n.mp3,enriched
arzt-n,Arzt,der Arzt,noun,mask.,Ärzte,,A1,koerper-gesundheit,doctor,врач,,dwds,word_arzt-n.mp3,enriched
auch-c,auch,auch,adv,,,,A1,grundwortschatz,"also, too","тоже, также",,dwds,word_auch-c.mp3,enriched
auf-p,auf,auf,prep,,,,A1,grundwortschatz,"on, onto","на, на поверхность",,dwds,word_auf-p.mp3,enriched
auf-sein-v,auf sein,auf sein,verb,,,"ist auf, war auf, ist aufgeblieben",A1,einkaufen,"be open, be up","быть открытым, не спать",,dwds,word_auf-sein-v.mp3,enriched
aufgabe-n,Aufgabe,die Aufgabe,noun,fem.,Aufgaben,,A1,lernen-schule,"task, assignment","задание, задача",,dwds,word_aufgabe-n.mp3,enriched
aufhoeren-v,aufhören,aufhören,verb,,,"hört auf, hörte auf, hat aufgehört",A1,koerper-gesundheit,"stop, quit","прекращать, бросать",,dwds,word_aufhoeren-v.mp3,enriched
aufstehen-v,aufstehen,aufstehen,verb,,,"steht auf, stand auf, ist aufgestanden",A1,grundwortschatz,"get up, stand up","вставать, подниматься",,dwds,word_aufstehen-v.mp3,qa_flagged
aufzug-n,Aufzug,der Aufzug,noun,mask.,Aufzüge,,A1,wohnen,"elevator, lift",лифт,,dwds,word_aufzug-n.mp3,enriched
auge-n,Auge,das Auge,noun,neutr.,Augen,,A1,koerper-gesundheit,eye,глаз,,dwds,word_auge-n.mp3,enriched
august-n,August,der August,noun,mask.,Auguste,,A1,grundwortschatz,August,август,,dwds,word_august-n.mp3,enriched
aus-p,aus,aus,prep,,,,A1,reisen-verkehr,"from, out of","из, от",,dwds,word_aus-p.mp3,enriched
aus-a,aus,aus,adv,,,,A1,wohnen,"off, out","выключено, наружу",,dwds,word_aus-a.mp3,qa_flagged
aus-sein-v,aus sein,aus sein,verb,,,"ist aus, war aus, ist aus gewesen",A1,wohnen,be switched off,быть выключенным,,dwds,word_aus-sein-v.mp3,enriched
ausflug-n,Ausflug,der Ausflug,noun,mask.,Ausflüge,,A1,freizeit-hobby,"excursion, trip","экскурсия, поездка",,dwds,word_ausflug-n.mp3,enriched
ausfuellen-v,ausfüllen,ausfüllen,verb,,,,A1,dienstleistungen,"fill in, complete",заполнять,,dwds,word_ausfuellen-v.mp3,enriched
ausgang-n,Ausgang,der Ausgang,noun,mask.,Ausgänge,,A1,reisen-verkehr,"exit, way out",выход,,dwds,word_ausgang-n.mp3,enriched
auskunft-n,Auskunft,die Auskunft,noun,fem.,Auskünfte,,A1,dienstleistungen,"information, information desk","справка, информация",,dwds,word_auskunft-n.mp3,enriched
ausland-n,Ausland,das Ausland,noun,neutr.,(Sg.),,A1,reisen-verkehr,"abroad, foreign country","за границей, зарубежье",,dwds,word_ausland-n.mp3,qa_flagged
auslaender-n,Ausländer,der Ausländer,noun,mask.,Ausländer,,A1,person-familie,"foreigner, foreign national","иностранец, иностранный гражданин",,dwds,word_auslaender-n.mp3,enriched
auslaendisch-a,ausländisch,ausländisch,adj,,,,A1,reisen-verkehr,foreign,"иностранный, зарубежный",,dwds,word_auslaendisch-a.mp3,enriched
ausmachen-v,ausmachen,ausmachen,verb,,,,A1,wohnen,"turn off, arrange","выключать, договариваться",,dwds,word_ausmachen-v.mp3,enriched
aussage-n,Aussage,die Aussage,noun,fem.,Aussagen,,A1,grundwortschatz,"statement, remark","высказывание, утверждение",,dwds,word_aussage-n.mp3,enriched
aussehen-v,aussehen,aussehen,verb,,,"sieht aus, sah aus, hat ausgesehen",A1,person-familie,"look, appear","выглядеть, казаться",,dwds,word_aussehen-v.mp3,enriched
aussteigen-v,aussteigen,aussteigen,verb,,,"steigt aus, stieg aus, ist ausgestiegen",A1,reisen-verkehr,"get off, exit","выходить, сходить",,dwds,word_aussteigen-v.mp3,enriched
ausweis-n,Ausweis,der Ausweis,noun,mask.,Ausweise,,A1,dienstleistungen,"ID card, identification","удостоверение личности, документ",,dwds,word_ausweis-n.mp3,enriched
ausziehen-v,ausziehen,ausziehen,verb,,,"zieht aus, zog aus, hat/ist ausgezogen",A1,kleidung,"take off, move out","снимать одежду, съезжать",,dwds,word_ausziehen-v.mp3,enriched
auto-n,Auto,das Auto,noun,neutr.,Autos,,A1,reisen-verkehr,car,"автомобиль, машина",,dwds,word_auto-n.mp3,enriched
autobahn-n,Autobahn,die Autobahn,noun,fem.,Autobahnen,,A1,reisen-verkehr,"motorway, highway","автомагистраль, шоссе",,dwds,word_autobahn-n.mp3,enriched
automat-n,Automat,der Automat,noun,mask.,Automaten,,A1,einkaufen,"vending machine, machine","автомат, торговый автомат",,dwds,word_automat-n.mp3,enriched
automatisch-a,automatisch,automatisch,adj,,,,A1,grundwortschatz,"automatic, automatically","автоматический, автоматически",,dwds,word_automatisch-a.mp3,enriched
baby-n,Baby,das Baby,noun,neutr.,Babys,,A1,person-familie,baby,"младенец, ребёнок",,dwds,word_baby-n.mp3,enriched
bad-n,Bad,das Bad,noun,neutr.,Bäder,,A1,wohnen,"bathroom, bath","ванная комната, ванна",,dwds,word_bad-n.mp3,enriched
baden-v,baden,baden,verb,,,,A1,freizeit-hobby,"bathe, swim","купаться, принимать ванну",,dwds,word_baden-v.mp3,enriched
bahn-n,Bahn,die Bahn,noun,fem.,Bahnen,,A1,reisen-verkehr,"train, railway","поезд, железная дорога",,dwds,word_bahn-n.mp3,enriched
bahnhof-n,Bahnhof,der Bahnhof,noun,mask.,Bahnhöfe,,A1,reisen-verkehr,train station,железнодорожный вокзал,,dwds,word_bahnhof-n.mp3,enriched
bahnsteig-n,Bahnsteig,der Bahnsteig,noun,mask.,Bahnsteige,,A1,reisen-verkehr,platform,"перрон, платформа",,dwds,word_bahnsteig-n.mp3,enriched
bald-a,bald,bald,adv,,,,A1,grundwortschatz,soon,скоро,,dwds,word_bald-a.mp3,enriched
balkon-n,Balkon,der Balkon,noun,mask.,Balkone,,A1,wohnen,balcony,балкон,,dwds,word_balkon-n.mp3,enriched
banane-n,Banane,die Banane,noun,fem.,Bananen,,A1,essen-trinken,banana,банан,,dwds,word_banane-n.mp3,enriched
bank-n,Bank,die Bank,noun,fem.,Banken,,A1,dienstleistungen,"bank, bench","банк, скамейка",,dwds,word_bank-n.mp3,enriched
bar-a,bar,bar,adj,,,,A1,einkaufen,"cash-paid, cash","наличный, наличными",,dwds,word_bar-a.mp3,enriched
bauch-n,Bauch,der Bauch,noun,mask.,Bäuche,,A1,koerper-gesundheit,"stomach, belly",живот,,dwds,word_bauch-n.mp3,enriched
baum-n,Baum,der Baum,noun,mask.,Bäume,,A1,umwelt-wetter,tree,дерево,,dwds,word_baum-n.mp3,enriched
beamte-n,Beamte,der Beamte,noun,mask.,Beamte,,A1,dienstleistungen,"official, civil servant","чиновник, государственный служащий",,dwds,word_beamte-n.mp3,enriched
bedeuten-v,bedeuten,bedeuten,verb,,,,A1,grundwortschatz,"mean, signify","значить, означать",,dwds,word_bedeuten-v.mp3,enriched
beginnen-v,beginnen,beginnen,verb,,,"beginnt, begann, hat begonnen",A1,lernen-schule,"begin, start",начинать(ся),,dwds,word_beginnen-v.mp3,enriched
bei-p,bei,bei,prep,,,,A1,grundwortschatz,"at, with, near","у, при, рядом с",,dwds,word_bei-p.mp3,enriched
beide-o,beide,beide,pron,,,,A1,grundwortschatz,both,"оба, обе",,dwds,word_beide-o.mp3,enriched
bein-n,Bein,das Bein,noun,neutr.,Beine,,A1,koerper-gesundheit,leg,нога,,dwds,word_bein-n.mp3,enriched
beispiel-n,Beispiel,das Beispiel,noun,neutr.,Beispiele,,A1,lernen-schule,example,пример,,dwds,word_beispiel-n.mp3,enriched
bekannt-o,bekannt,bekannt,adj,,,,A1,person-familie,"known, familiar","известный, знакомый",,dwds,word_bekannt-o.mp3,enriched
bekannte-n,Bekannte,die Bekannte,noun,fem.,Bekannte,,A1,person-familie,acquaintance,знакомая,,dwds,word_bekannte-n.mp3,enriched
bekommen-v,bekommen,bekommen,verb,,,"bekommt, bekam, hat bekommen",A1,grundwortschatz,"get, receive",получать,,dwds,word_bekommen-v.mp3,enriched
benutzen-v,benutzen,benutzen,verb,,,,A1,wohnen,use,"использовать, пользоваться",,dwds,word_benutzen-v.mp3,enriched
beruf-n,Beruf,der Beruf,noun,mask.,Berufe,,A1,arbeit,"profession, job","профессия, работа",,dwds,word_beruf-n.mp3,enriched
besetzt-o,besetzt,besetzt,adj,,,,A1,dienstleistungen,"occupied, engaged","занятый, занято",,dwds,word_besetzt-o.mp3,enriched
besichtigen-v,besichtigen,besichtigen,verb,,,,A1,reisen-verkehr,"visit, sightsee","осматривать, посещать",,dwds,word_besichtigen-v.mp3,enriched
besser-o,besser,besser,adj,,,,A1,grundwortschatz,better,лучше,,dwds,word_besser-o.mp3,enriched
best-o,best,best,adj,,,,A1,freizeit-hobby,best,самый лучший,,dwds,word_best-o.mp3,enriched
bestellen-v,bestellen,bestellen,verb,,,,A1,essen-trinken,order,заказывать,,dwds,word_bestellen-v.mp3,enriched
besuchen-v,besuchen,besuchen,verb,,,,A1,freizeit-hobby,visit,"навещать, посещать",,dwds,word_besuchen-v.mp3,enriched
bett-n,Bett,das Bett,noun,neutr.,Betten,,A1,wohnen,bed,"кровать, постель",,dwds,word_bett-n.mp3,enriched
bezahlen-v,bezahlen,bezahlen,verb,,,,A1,einkaufen,"pay, pay for","платить, оплачивать",,dwds,word_bezahlen-v.mp3,enriched
bier-n,Bier,das Bier,noun,neutr.,Biere,,A1,essen-trinken,beer,пиво,,dwds,word_bier-n.mp3,enriched
bild-n,Bild,das Bild,noun,neutr.,Bilder,,A1,freizeit-hobby,"picture, image","картина, изображение",,dwds,word_bild-n.mp3,enriched
billig-a,billig,billig,adj,,,,A1,einkaufen,"cheap, inexpensive","дешёвый, недорогой",,dwds,word_billig-a.mp3,enriched
birne-n,Birne,die Birne,noun,fem.,Birnen,,A1,essen-trinken,pear,груша,,dwds,word_birne-n.mp3,enriched
bis-o,bis,bis,prep,,,,A1,grundwortschatz,"until, to","до, пока",,dwds,word_bis-o.mp3,enriched
bisschen-a,bisschen,bisschen,adv,,,,A1,grundwortschatz,"a little, a bit","немного, чуть-чуть",,dwds,word_bisschen-a.mp3,enriched
bitte-n,Bitte,die Bitte,noun,fem.,Bitten,,A1,dienstleistungen,"request, favor",просьба,,dwds,word_bitte-n.mp3,enriched
bitte-p,bitte,bitte,particle,,,,A1,grundwortschatz,please,пожалуйста,,dwds,word_bitte-p.mp3,enriched
bitten-v,bitten,bitten,verb,,,"bittet, bat, hat gebeten",A1,dienstleistungen,"ask, request",просить,,dwds,word_bitten-v.mp3,enriched
bitter-a,bitter,bitter,adj,,,,A1,essen-trinken,bitter,горький,,dwds,word_bitter-a.mp3,enriched
blau-a,blau,blau,adj,,,,A1,grundwortschatz,blue,"синий, голубой",,dwds,word_blau-a.mp3,enriched
bleiben-v,bleiben,bleiben,verb,,,"bleibt, blieb, ist geblieben",A1,wohnen,"stay, remain",оставаться,,dwds,word_bleiben-v.mp3,enriched
bleistift-n,Bleistift,der Bleistift,noun,mask.,Bleistifte,,A1,lernen-schule,pencil,карандаш,,dwds,word_bleistift-n.mp3,enriched
blick-n,Blick,der Blick,noun,mask.,Blicke,,A1,freizeit-hobby,"look, glance","взгляд, вид",,dwds,word_blick-n.mp3,enriched
blume-n,Blume,die Blume,noun,fem.,Blumen,,A1,umwelt-wetter,flower,цветок,,dwds,word_blume-n.mp3,enriched
bogen-n,Bogen,der Bogen,noun,mask.,Bögen,,A1,freizeit-hobby,"bow, arch","лук, изгиб",,dwds,word_bogen-n.mp3,enriched
brauchen-v,brauchen,brauchen,verb,,,,A1,grundwortschatz,"need, require","нуждаться, требоваться",,dwds,word_brauchen-v.mp3,enriched
braun-a,braun,braun,adj,,,,A1,kleidung,brown,коричневый,,dwds,word_braun-a.mp3,enriched
breit-a,breit,breit,adj,,,,A1,reisen-verkehr,"wide, broad",широкий,,dwds,word_breit-a.mp3,enriched
brief-n,Brief,der Brief,noun,mask.,Briefe,,A1,dienstleistungen,letter,письмо,,dwds,word_brief-n.mp3,enriched
briefmarke-n,Briefmarke,die Briefmarke,noun,fem.,Briefmarken,,A1,dienstleistungen,stamp,почтовая марка,,dwds,word_briefmarke-n.mp3,enriched
bringen-v,bringen,bringen,verb,,,"bringt, brachte, hat gebracht",A1,dienstleistungen,"bring, take","приносить, отводить",,dwds,word_bringen-v.mp3,qa_flagged
brot-n,Brot,das Brot,noun,neutr.,Brote,,A1,essen-trinken,bread,хлеб,,dwds,word_brot-n.mp3,enriched
bruder-n,Bruder,der Bruder,noun,mask.,Brüder,,A1,person-familie,brother,брат,,dwds,word_bruder-n.mp3,enriched
broetchen-n,Brötchen,das Brötchen,noun,neutr.,Brötchen,,A1,essen-trinken,"bread roll, bun",булочка,,dwds,word_broetchen-n.mp3,qa_flagged
buch-n,Buch,das Buch,noun,neutr.,Bücher,,A1,lernen-schule,book,книга,,dwds,word_buch-n.mp3,enriched
buchstabe-n,Buchstabe,der Buchstabe,noun,mask.,Buchstaben,,A1,lernen-schule,"letter, character","буква, символ",,dwds,word_buchstabe-n.mp3,enriched
buchstabieren-v,buchstabieren,buchstabieren,verb,,,,A1,lernen-schule,spell,произносить по буквам,,dwds,word_buchstabieren-v.mp3,enriched
bus-n,Bus,der Bus,noun,mask.,Busse,,A1,reisen-verkehr,bus,автобус,,dwds,word_bus-n.mp3,enriched
butter-n,Butter,die Butter,noun,fem.,(Sg.),,A1,essen-trinken,butter,сливочное масло,,dwds,word_butter-n.mp3,enriched
baeckerei-n,Bäckerei,die Bäckerei,noun,fem.,Bäckereien,,A1,einkaufen,bakery,"булочная, пекарня",,dwds,word_baeckerei-n.mp3,enriched
boes-a,bös,bös,adj,,,,A1,person-familie,"mean, wicked","злой, дурной",,dwds,word_boes-a.mp3,enriched
boese-a,böse,böse,adj,,,,A1,person-familie,"angry, bad","злой, плохой",,dwds,word_boese-a.mp3,enriched
cafe-n,Café,das Café,noun,neutr.,Cafés,,A1,essen-trinken,"café, coffeehouse",кафе,,dwds,word_cafe-n.mp3,enriched
cd-n,CD,die CD,noun,fem.,CDs,,A1,freizeit-hobby,"CD, compact disc",компакт-диск,,dwds,word_cd-n.mp3,enriched
cent-n,Cent,der Cent,noun,mask.,Cents,,A1,einkaufen,"cent, penny",цент,,dwds,word_cent-n.mp3,enriched
chef-n,Chef,der Chef,noun,mask.,Chefs,,A1,arbeit,"boss, manager","начальник, шеф",,dwds,word_chef-n.mp3,enriched
circa-a,circa,circa,adv,,,,A1,grundwortschatz,"about, approximately","около, примерно",,dwds,word_circa-a.mp3,enriched
computer-n,Computer,der Computer,noun,mask.,Computer,,A1,lernen-schule,computer,компьютер,,dwds,word_computer-n.mp3,enriched
da-a,da,da,adv,,,,A1,grundwortschatz,"there, here","там, здесь",,dwds,word_da-a.mp3,enriched
daneben-o,daneben,daneben,adv,,,,A1,grundwortschatz,"beside it, wrong","рядом, мимо",,dwds,word_daneben-o.mp3,enriched
dank-n,Dank,der Dank,noun,mask.,Danks,,A1,grundwortschatz,"thanks, gratitude","благодарность, спасибо",,dwds,word_dank-n.mp3,enriched
danke-p,danke,danke,particle,,,,A1,grundwortschatz,"thanks, thank you",спасибо,,dwds,word_danke-p.mp3,enriched
danken-v,danken,danken,verb,,,,A1,grundwortschatz,thank,благодарить,,dwds,word_danken-v.mp3,enriched
dann-a,dann,dann,adv,,,,A1,grundwortschatz,"then, afterwards","тогда, потом",,dwds,word_dann-a.mp3,enriched
das-o,das,das,other,neutr.,,,A1,grundwortschatz,"the, that","этот, это",,dwds,word_das-o.mp3,qa_flagged
datum-n,Datum,das Datum,noun,neutr.,Daten,,A1,termine,date,"дата, число",,dwds,word_datum-n.mp3,enriched
dauern-v,dauern,dauern,verb,,,,A1,termine,"to take time, last","длиться, занимать время",,dwds,word_dauern-v.mp3,enriched
dein-o,dein,dein,other,mask.,,,A1,person-familie,your,"твой, ваша",,dwds,word_dein-o.mp3,enriched
deine-o,deine,deine,other,fem.,,,A1,person-familie,your,"твоя, вашу",,dwds,word_deine-o.mp3,enriched
denn-c,denn,denn,particle,,,,A1,grundwortschatz,"because, then","ведь, потому что",,dwds,word_denn-c.mp3,enriched
der-o,der,der,other,mask.,,,A1,grundwortschatz,"the, that","этот, тот",,dwds,word_der-o.mp3,enriched
deutsch-a,deutsch,deutsch,adj,,,,A1,lernen-schule,German,"немецкий, по-немецки",,dwds,word_deutsch-a.mp3,enriched
deutsche-n,Deutsche,die Deutsche,noun,fem.,Deutsche,,A1,person-familie,"German woman, German","немка, немцы",,dwds,word_deutsche-n.mp3,enriched
deutschland-n,Deutschland,das Deutschland,noun,neutr.,(Sg.),,A1,reisen-verkehr,Germany,Германия,,dwds,word_deutschland-n.mp3,enriched
dezember-n,Dezember,der Dezember,noun,mask.,-,,A1,grundwortschatz,December,декабрь,,dwds,word_dezember-n.mp3,enriched
dich-p,dich,dich,pron,,,,A1,grundwortschatz,"you, yourself","тебя, себе",,dwds,word_dich-p.mp3,enriched
die-o,die,die,other,fem.,,,A1,grundwortschatz,"the, that","эта, та",,dwds,word_die-o.mp3,enriched
dienstag-n,Dienstag,der Dienstag,noun,mask.,-,,A1,termine,Tuesday,вторник,,dwds,word_dienstag-n.mp3,enriched
dir-p,dir,dir,pron,,,,A1,grundwortschatz,"to you, for you","тебе, для тебя",,dwds,word_dir-p.mp3,enriched
doktor-n,Doktor,der Doktor,noun,mask.,Doktoren,,A1,koerper-gesundheit,"doctor, physician","врач, доктор",,dwds,word_doktor-n.mp3,enriched
donnerstag-n,Donnerstag,der Donnerstag,noun,mask.,Donnerstage,,A1,grundwortschatz,Thursday,четверг,,dwds,word_donnerstag-n.mp3,enriched
doppelzimmer-n,Doppelzimmer,das Doppelzimmer,noun,neutr.,Doppelzimmer,,A1,reisen-verkehr,double room,двухместный номер,,dwds,word_doppelzimmer-n.mp3,enriched
dorf-n,Dorf,das Dorf,noun,neutr.,Dörfer,,A1,wohnen,village,деревня,,dwds,word_dorf-n.mp3,enriched
dort-a,dort,dort,adv,,,,A1,grundwortschatz,"there, in that place","там, туда",,dwds,word_dort-a.mp3,enriched
draussen-a,draußen,draußen,adv,,,,A1,umwelt-wetter,"outside, outdoors","снаружи, на улице",,dwds,word_draussen-a.mp3,enriched
drei-o,drei,drei,num,,,,A1,grundwortschatz,three,три,,dwds,word_drei-o.mp3,enriched
dreizehn-o,dreizehn,dreizehn,num,,,,A1,grundwortschatz,thirteen,тринадцать,,dwds,word_dreizehn-o.mp3,enriched
dreissig-o,dreißig,dreißig,num,,,,A1,grundwortschatz,thirty,тридцать,,dwds,word_dreissig-o.mp3,enriched
dritte-o,dritte,dritte,num,,,,A1,grundwortschatz,third,третий,,dwds,word_dritte-o.mp3,enriched
drucken-v,drucken,drucken,verb,,,,A1,lernen-schule,to print,"печатать, распечатывать",,dwds,word_drucken-v.mp3,enriched
drucker-n,Drucker,der Drucker,noun,mask.,Drucker,,A1,lernen-schule,printer,принтер,,dwds,word_drucker-n.mp3,enriched
druecken-v,drücken,drücken,verb,,,,A1,dienstleistungen,"to press, to push","нажимать, давить",,dwds,word_druecken-v.mp3,enriched
